Data, Humidity, Temperature
2015/01/29 19:32:32,40,18
2015/01/29 19:33:32,41,18
2015/01/29 19:34:33,40,18
2015/01/29 19:35:33,40,18
2015/01/29 19:36:34,40,17
2015/01/29 19:37:34,40,18
2015/01/29 19:38:35,40,18
2015/01/29 19:39:35,40,18
2015/01/29 19:40:36,40,18
2015/01/29 19:41:36,40,18
2015/01/29 19:42:37,40,18
2015/01/29 19:43:37,40,18
2015/01/29 19:44:37,40,18
2015/01/29 19:45:38,40,18
2015/01/29 19:46:38,40,18
2015/01/29 19:47:39,40,18
2015/01/29 19:48:39,40,18
2015/01/29 19:49:40,40,18
2015/01/29 19:50:40,40,18
2015/01/29 19:51:41,40,18
2015/01/29 19:52:41,40,18
2015/01/29 19:53:42,40,18
2015/01/29 19:54:42,40,18
2015/01/29 19:55:43,40,18
2015/01/29 19:56:43,40,18
2015/01/29 19:57:44,40,18
2015/01/29 19:58:44,40,18
2015/01/29 19:59:44,40,18
2015/01/29 20:00:45,40,18
2015/01/29 20:01:46,40,18
2015/01/29 20:02:46,40,18
2015/01/29 20:03:47,40,18
2015/01/29 20:04:47,40,18
2015/01/29 20:05:48,40,18
2015/01/29 20:06:48,40,18
2015/01/29 20:07:48,40,18
2015/01/29 20:08:49,40,18
2015/01/29 20:09:49,40,18
2015/01/29 20:10:50,40,18
2015/01/29 20:11:50,40,18
2015/01/29 20:12:51,40,18
2015/01/29 20:13:51,40,18
2015/01/29 20:14:52,40,18
2015/01/29 20:15:52,40,18
2015/01/29 20:16:52,40,18
2015/01/29 20:17:53,40,18
2015/01/29 20:18:53,40,18
2015/01/29 20:19:54,40,18
2015/01/29 20:20:55,40,18
2015/01/29 20:21:55,40,18
2015/01/29 20:22:56,40,18
2015/01/29 20:23:56,40,18
2015/01/29 20:24:57,40,18
2015/01/29 20:25:57,40,18
2015/01/29 20:26:58,40,18
2015/01/29 20:27:58,40,18
2015/01/29 20:28:59,40,18
2015/01/29 20:29:59,40,18
2015/01/29 20:31:00,40,18
2015/01/29 20:32:00,40,18
2015/01/29 20:33:01,40,18
2015/01/29 20:34:01,40,18
2015/01/29 20:35:01,40,18
2015/01/29 20:36:02,40,18
2015/01/29 20:37:02,40,18
2015/01/29 20:38:03,40,18
2015/01/29 20:39:03,40,18
2015/01/29 20:40:04,40,18
2015/01/29 20:41:04,40,18
2015/01/29 20:42:05,40,18
2015/01/29 20:43:05,40,18
2015/01/29 20:44:06,40,18
2015/01/29 20:45:06,40,18
2015/01/29 20:46:07,40,18
2015/01/29 20:47:07,40,18
2015/01/29 20:48:08,40,18
2015/01/29 20:49:08,40,18
2015/01/29 20:50:09,40,18
2015/01/29 20:51:10,40,18
2015/01/29 20:52:11,40,18
2015/01/29 20:53:11,40,18
2015/01/29 20:54:12,40,18
2015/01/29 20:55:12,40,18
2015/01/29 20:56:13,40,18
2015/01/29 20:57:13,40,18
2015/01/29 20:58:14,40,18
2015/01/29 20:59:14,40,18
2015/01/29 21:00:15,40,18
2015/01/29 21:01:15,40,18
2015/01/29 21:02:16,40,18
2015/01/29 21:03:16,40,18
2015/01/29 21:04:16,40,18
2015/01/29 21:05:17,40,18
2015/01/29 21:06:17,40,18
2015/01/29 21:07:18,40,18
2015/01/29 21:08:19,40,18
2015/01/29 21:09:19,40,18
2015/01/29 21:10:19,40,18
2015/01/29 21:11:20,40,18
2015/01/29 21:12:20,40,18
2015/01/29 21:13:21,40,18
2015/01/29 21:14:22,40,18
2015/01/29 21:15:22,40,18
2015/01/29 21:16:23,40,18
2015/01/29 21:17:23,40,18
2015/01/29 21:18:23,40,18
2015/01/29 21:19:24,40,18
2015/01/29 21:20:24,40,18
2015/01/29 21:21:25,40,18
2015/01/29 21:22:25,40,18
2015/01/29 21:23:26,40,18
2015/01/29 21:24:26,40,18
2015/01/29 21:25:27,40,18
2015/01/29 21:26:27,40,18
2015/01/29 21:27:28,40,18
2015/01/29 21:28:28,40,18
2015/01/29 21:29:29,40,18
2015/01/29 21:30:29,40,18
2015/01/29 21:31:30,40,18
2015/01/29 21:32:30,40,18
2015/01/29 21:33:31,40,18
2015/01/29 21:34:31,40,18
2015/01/29 21:35:32,40,18
2015/01/29 21:36:32,40,18
2015/01/29 21:37:33,40,18
2015/01/29 21:38:33,40,18
2015/01/29 21:39:34,40,18
2015/01/29 21:40:34,40,18
2015/01/29 21:41:35,40,18
2015/01/29 21:42:35,40,18
2015/01/29 21:43:36,40,18
2015/01/29 21:44:36,40,18
2015/01/29 21:45:37,40,18
2015/01/29 21:46:37,40,18
2015/01/29 21:47:38,40,18
2015/01/29 21:48:39,40,18
2015/01/29 21:49:39,40,18
2015/01/29 21:50:40,40,18
2015/01/29 21:51:40,40,18
2015/01/29 21:52:40,40,18
2015/01/29 21:53:41,40,18
2015/01/29 21:54:41,40,18
2015/01/29 21:55:42,40,18
2015/01/29 21:56:42,40,18
2015/01/29 21:57:43,40,18
2015/01/29 21:58:43,40,18
2015/01/29 21:59:44,40,18
2015/01/29 22:00:44,40,18
2015/01/29 22:01:45,40,18
2015/01/29 22:02:46,40,18
2015/01/29 22:03:46,40,18
2015/01/29 22:04:47,40,18
2015/01/29 22:05:47,40,18
2015/01/29 22:06:48,40,18
2015/01/29 22:07:48,40,18
2015/01/29 22:08:49,40,18
2015/01/29 22:09:49,40,18
2015/01/29 22:10:50,40,18
2015/01/29 22:11:50,40,18
2015/01/29 22:12:51,40,18
2015/01/29 22:13:51,40,18
2015/01/29 22:14:52,40,18
2015/01/29 22:15:52,40,18
2015/01/29 22:16:53,40,18
2015/01/29 22:17:53,40,18
2015/01/29 22:18:54,40,18
2015/01/29 22:19:56,40,18
2015/01/29 22:20:24,40,18
2015/01/29 22:30:24,40,18
2015/01/29 22:40:25,40,18
2015/01/29 22:50:25,40,18
2015/01/29 23:00:26,40,18
2015/01/29 23:10:26,40,18
2015/01/29 23:20:27,40,18
2015/01/29 23:30:27,40,18
2015/01/29 23:40:28,40,18
2015/01/29 23:50:28,40,18
2015/01/30 00:00:29,40,18
2015/01/30 00:10:29,40,18
2015/01/30 00:20:30,40,18
2015/01/30 00:30:30,40,18
2015/01/30 00:40:31,40,18
2015/01/30 00:50:32,40,18
2015/01/30 01:00:32,40,18
2015/01/30 01:10:33,40,18
2015/01/30 01:20:33,40,18
2015/01/30 01:30:34,40,18
2015/01/30 01:40:34,40,18
2015/01/30 01:50:35,40,18
2015/01/30 02:00:35,40,18
2015/01/30 02:10:36,40,17
2015/01/30 02:20:36,39,17
2015/01/30 02:30:37,40,17
2015/01/30 02:40:37,40,17
2015/01/30 02:50:38,40,17
2015/01/30 03:00:38,40,17
2015/01/30 03:10:39,39,17
2015/01/30 03:20:40,40,17
2015/01/30 03:30:40,40,17
2015/01/30 03:40:41,40,17
2015/01/30 03:50:41,39,17
2015/01/30 04:00:42,39,17
2015/01/30 04:10:42,39,17
2015/01/30 04:20:43,40,17
2015/01/30 04:30:43,39,17
2015/01/30 04:40:44,39,17
2015/01/30 04:50:45,39,17
2015/01/30 05:00:46,39,17
2015/01/30 05:10:46,39,17
2015/01/30 05:20:47,39,17
2015/01/30 05:30:47,39,17
2015/01/30 05:40:48,39,17
2015/01/30 05:50:48,40,17
2015/01/30 06:00:49,39,17
2015/01/30 06:10:49,39,17
2015/01/30 06:20:50,39,17
2015/01/30 06:30:50,40,17
2015/01/30 06:40:51,40,17
2015/01/30 06:50:52,39,17
2015/01/30 07:00:52,40,17
2015/01/30 07:10:53,40,17
2015/01/30 07:20:53,39,17
2015/01/30 07:30:54,40,18
2015/01/30 07:40:54,40,18
2015/01/30 07:50:55,39,18
2015/01/30 08:00:55,39,18
2015/01/30 08:10:56,40,18
2015/01/30 08:20:56,39,18
2015/01/30 08:30:57,39,18
2015/01/30 08:40:57,39,18
2015/01/30 08:50:58,40,18
2015/01/30 09:00:58,40,18
2015/01/30 09:10:59,39,18
2015/01/30 09:20:59,40,18
2015/01/30 09:31:00,39,18
2015/01/30 09:41:00,39,18
2015/01/30 09:51:01,39,18
2015/01/30 10:01:02,39,18
2015/01/30 10:11:02,39,18
2015/01/30 10:21:02,39,18
2015/01/30 10:31:03,39,18
2015/01/30 10:41:04,39,18
2015/01/30 10:51:04,39,18
2015/01/30 11:01:05,40,18
2015/01/30 11:11:05,39,18
2015/01/30 11:21:06,39,18
2015/01/30 11:31:06,39,18
2015/01/30 11:41:07,39,18
2015/01/30 11:51:07,39,18
2015/01/30 12:01:08,39,18
2015/01/30 12:11:09,39,18
2015/01/30 12:21:09,39,18
2015/01/30 12:31:10,39,18
2015/01/30 12:41:10,39,18
2015/01/30 12:51:11,39,18
2015/01/30 13:01:11,39,18
2015/01/30 13:11:12,39,18
2015/01/30 13:21:12,39,18
2015/01/30 13:31:13,39,18
2015/01/30 13:41:13,39,18
2015/01/30 13:51:14,39,18
2015/01/30 14:01:14,39,18
2015/01/30 14:11:15,39,18
2015/01/30 14:21:15,39,18
2015/01/30 14:31:16,39,18
2015/01/30 14:41:16,39,18
2015/01/30 14:51:17,39,18
2015/01/30 15:01:17,39,18
2015/01/30 15:11:18,39,18
2015/01/30 15:21:19,39,18
2015/01/30 15:31:19,39,18
2015/01/30 15:41:20,39,18
2015/01/30 15:51:20,38,18
2015/01/30 16:01:21,38,18
2015/01/30 16:11:21,38,18
2015/01/30 16:21:22,38,18
2015/01/30 16:31:22,38,18
2015/01/30 16:41:23,39,18
2015/01/30 16:51:23,38,18
2015/01/30 17:01:24,38,18
2015/01/30 17:11:24,39,18
2015/01/30 17:21:25,39,18
2015/01/30 17:31:25,39,18
2015/01/30 17:41:26,39,18
2015/01/30 17:51:26,39,18
2015/01/30 18:01:27,39,18
2015/01/30 18:11:28,39,18
2015/01/30 18:21:28,39,18
2015/01/30 18:31:29,39,18
2015/01/30 18:41:29,40,18
